id_pedido,categoria_producto,region_cliente,metodo_pago,precio_unitario,cantidad,tiempo_envio_dias,satisfaccion_cliente
16472,Deportes,Sur,Transferencia,,5,4.9,4.6
17229,Hogar,Sur,Tarjeta,17.01,3,,4.9
2225,Electrónica,Norte,Transferencia,30.65,2,,4.6
18260,Ropa,Sur,Tarjeta,40.41,3,3.2,3.5
712,Ropa,Sur,Transferencia,21.12,3,3.2,3.3
7019,Electrónica,Norte,Transferencia,32.77,5,2.6,5.8
8869,Hogar,Norte,Transferencia,61.37,3,2.5,
1457,Electrónica,Sur,Débito,-0.73,4,0.6,4.0
5713,Deportes,Sur,,50.07,3,1.6,3.9
6805,Ropa,Centro,Débito,,5,2.3,4.5
12418,Electrónica,Centro,Débito,20.07,4,1.9,4.6
7142,Ropa,Centro,Tarjeta,1.39,3,4.2,5.4
3628,Ropa,Centro,Débito,17.6,5,2.9,
4448,Electrónica,Norte,Tarjeta,33.82,3,3.4,3.8
12832,Ropa,Sur,Transferencia,37.04,1,3.4,4.2
2774,Deportes,Norte,Tarjeta,27.64,1,2.6,4.6
4647,Ropa,Sur,Transferencia,39.57,3,1.3,4.9
5692,Electrónica,Sur,Tarjeta,,1,3.2,3.3
5753,Hogar,Centro,Débito,48.14,4,2.9,5.5
16504,Electrónica,Sur,Transferencia,53.78,2,1.7,6.0
19293,Ropa,Norte,Transferencia,35.36,5,2.5,5.0
19148,Electrónica,Centro,,,3,4.2,4.5
14946,Electrónica,Norte,Tarjeta,4.48,1,3.6,4.1
15772,Hogar,Sur,,7.17,2,3.0,3.5
8565,Hogar,Centro,Transferencia,19.25,4,6.0,5.6
4315,Deportes,Centro,Débito,46.69,4,,4.4
14852,Electrónica,Centro,Tarjeta,20.53,2,5.8,4.7
15946,Hogar,Centro,,10.58,5,2.3,5.4
3981,Deportes,Centro,Débito,-1.65,5,4.9,5.4
8124,Hogar,Norte,Transferencia,44.71,5,4.0,3.8
11246,Electrónica,Norte,Transferencia,50.77,1,3.1,3.5
17577,Ropa,Centro,Tarjeta,60.51,3,2.0,4.5
5163,Hogar,Centro,Débito,10.54,5,4.0,3.3
