id_pedido,categoria_producto,region_cliente,metodo_pago,precio_unitario,cantidad,tiempo_envio_dias,satisfaccion_cliente
1,Ropa,Centro,Transferencia,31.97,2,3.2,4.6
2,Deportes,Norte,Débito,11.64,2,3.4,4.1
3,Electrónica,Centro,Transferencia,75.84,2,1.3,2.9
4,Ropa,Sur,Transferencia,20.68,4,2.4,4.4
5,Hogar,Centro,Tarjeta,2.3,2,3.8,3.9
6,Electrónica,Centro,Débito,47.32,5,3.1,4.3
7,Electrónica,Norte,Tarjeta,35.09,1,0.7,4.3
8,Ropa,Centro,Débito,39.23,2,2.7,3.7
9,Ropa,Sur,Transferencia,55.75,1,4.6,4.5
10,Electrónica,Centro,Tarjeta,46.65,4,4.3,4.4
11,Ropa,Centro,Transferencia,5.99,4,3.2,3.9
12,Deportes,Sur,Débito,19.25,4,5.7,3.4
13,Ropa,Centro,Débito,25.37,3,2.4,4.1
14,Hogar,Sur,Débito,82.34,2,4.4,3.4
15,Hogar,Norte,Tarjeta,75.06,5,1.2,4.8
16,Electrónica,Centro,Tarjeta,30.17,1,2.5,5.0
17,Ropa,Norte,Débito,36.53,3,2.4,4.3
18,Deportes,Centro,Débito,59.33,3,1.9,3.3
19,Deportes,Sur,Transferencia,20.72,5,3.6,4.7
20,Ropa,Norte,Débito,51.44,2,1.5,5.8
21,Electrónica,Centro,Débito,84.4,3,3.5,5.4
22,Hogar,Norte,Transferencia,20.21,2,2.4,5.2
23,Deportes,Norte,Débito,45.91,1,1.5,4.7
24,Electrónica,Norte,Tarjeta,54.33,4,3.4,4.1
25,Electrónica,Centro,Transferencia,13.11,5,0.9,4.1
26,Hogar,Centro,Transferencia,44.33,4,4.9,5.0
27,Deportes,Centro,Tarjeta,66.51,2,4.4,1.8
28,Hogar,Sur,Tarjeta,36.08,2,1.9,5.2
29,Deportes,Centro,Tarjeta,28.05,2,3.1,3.4
30,Deportes,Norte,Débito,70.1,1,1.5,3.6
31,Hogar,Sur,Transferencia,55.29,2,2.6,3.9
32,Deportes,Centro,Tarjeta,74.65,1,1.8,3.6
33,Electrónica,Centro,Transferencia,62.62,1,3.3,4.1
34,Hogar,Centro,Débito,37.33,5,3.3,4.8
35,Deportes,Centro,Transferencia,67.6,2,2.2,4.9
36,Electrónica,Norte,Débito,75.29,5,3.0,5.2
37,Deportes,Centro,Tarjeta,51.46,5,3.4,4.3
